date,min,max,median,q1,q3,stdev,count
2020-10-05T00:00:00.000Z,0,5,0,0,1,1.412,1141
2020-10-06T00:00:00.000Z,0,10,0,0,4,2.91,1155
2020-10-07T00:00:00.000Z,0,0,0,0,0,0,1159
2020-10-08T00:00:00.000Z,0,0,0,0,0,0,1165
2020-10-09T00:00:00.000Z,0,4,0,0,0,0.998,1195
2020-10-10T00:00:00.000Z,0,7,0,0,1,1.291,1256
2020-10-11T00:00:00.000Z,0,4,0,0,1,1.092,1264
2020-10-12T00:00:00.000Z,0,4,0,0,1,0.908,1227
2020-10-13T00:00:00.000Z,0,4,0,0,0,1.064,1231
2020-10-14T00:00:00.000Z,0,3,0,0,0,0.483,1221
2020-10-15T00:00:00.000Z,0,4,0,0,0,0.819,1207
2020-10-16T00:00:00.000Z,0,5,0,0,0,0.843,1236
2020-10-17T00:00:00.000Z,0,4,0,0,2,1.056,1253
2020-10-18T00:00:00.000Z,0,1,0,0,0,0.167,1260
2020-10-19T00:00:00.000Z,0,3,0,0,0,0.305,1235
2020-10-20T00:00:00.000Z,0,2,0,0,0,0.22,1041
2020-10-21T00:00:00.000Z,0,34,4,3,4,3.193,1209
2020-10-22T00:00:00.000Z,0,4,0,0,0,0.985,1229
2020-10-23T00:00:00.000Z,0,9,0,0,0,1.382,1193
2020-10-24T00:00:00.000Z,0,3,0,0,0,0.831,1237
2020-10-25T00:00:00.000Z,0,10,2,0,3,1.802,1375
2020-10-26T00:00:00.000Z,0,8,0,0,1,2.649,1302
2020-10-27T00:00:00.000Z,0,11,1,0,4,2.883,1271
2020-10-28T00:00:00.000Z,0,4,1,0,2,1.291,1255
2020-10-29T00:00:00.000Z,0,15,0,0,1,1.857,1295
2020-10-30T00:00:00.000Z,0,1,0,0,0,0.371,1309
2020-10-31T00:00:00.000Z,0,4,3,1,4,1.582,1302
2020-11-01T00:00:00.000Z,0,9,4,3,6,1.686,1305
2020-11-02T00:00:00.000Z,0,8,1,0,3,2.267,1284
2020-11-03T00:00:00.000Z,0,4,0,0,0,0.753,1285
2020-11-04T00:00:00.000Z,0,4,0,0,0,0.663,1028
2020-11-05T00:00:00.000Z,0,4,0,0,2,1.335,1028
2020-11-06T00:00:00.000Z,0,6,0,0,2,1.385,1015
2020-11-07T00:00:00.000Z,0,4,0,0,1,1.459,1145
2020-11-08T00:00:00.000Z,0,7,0,0,3,1.593,1064
2020-11-09T00:00:00.000Z,0,4,1,0,2,1.361,973
2020-11-10T00:00:00.000Z,0,3,0,0,1,0.619,991
2020-11-11T00:00:00.000Z,0,7,4,1,4,1.811,1084
2020-11-12T00:00:00.000Z,3,16,7,4,9,3.009,1079
2020-11-13T00:00:00.000Z,2,9,4,3,4,1.32,1011
2020-11-14T00:00:00.000Z,0,6,4,3,4,0.785,1071
2020-11-15T00:00:00.000Z,2,24,4,3,8,5.346,874
2020-11-16T00:00:00.000Z,1,23,8,4,18,6.55,967
2020-11-17T00:00:00.000Z,0,4,2,0,3,1.45,1030
2020-11-18T00:00:00.000Z,0,4,0,0,0,0.865,1095
2020-11-19T00:00:00.000Z,0,4,1,0,3,1.51,1017
2020-11-20T00:00:00.000Z,0,0,0,0,0,0,1107
2020-11-21T00:00:00.000Z,0,0,0,0,0,0,1046
2020-11-22T00:00:00.000Z,0,2,0,0,0,0.471,1020
2020-11-23T00:00:00.000Z,0,0,0,0,0,0,922
2020-11-24T00:00:00.000Z,0,4,0,0,0,0.677,985
2020-11-25T00:00:00.000Z,0,4,3,1,4,1.514,990
2020-11-26T00:00:00.000Z,0,4,2,0,3,1.673,957
2020-11-27T00:00:00.000Z,0,0,0,0,0,0,976
2020-11-28T00:00:00.000Z,0,3,0,0,1,0.823,993
2020-11-29T00:00:00.000Z,0,4,2,1,3,1.182,1013
2020-11-30T00:00:00.000Z,0,5,3,1,4,1.563,882
2020-12-01T00:00:00.000Z,0,4,1,0,2.5,1.471,920
2020-12-02T00:00:00.000Z,0,8,4,0,4,2.295,932
2020-12-03T00:00:00.000Z,3,10,5,4,7,1.914,808
2020-12-04T00:00:00.000Z,0,7,3,1,4,1.53,664
2020-12-05T00:00:00.000Z,3,15,7,5,8,2.344,870
2020-12-06T00:00:00.000Z,3,19,10,8,14,4.268,1063
2020-12-07T00:00:00.000Z,1,8,4,3,4,1.671,970
2020-12-08T00:00:00.000Z,3,8,4,4,4,0.926,1000
2020-12-09T00:00:00.000Z,2,8,4,3,4,0.955,1067
2020-12-10T00:00:00.000Z,3,8,4,4,6,1.332,1052
2020-12-11T00:00:00.000Z,0,7,4,3,4,1.018,1019
2020-12-12T00:00:00.000Z,0,6,4,3,4,1.227,1047
2020-12-13T00:00:00.000Z,0,9,4,3,6,1.881,1054
2020-12-14T00:00:00.000Z,0,4,3,2,3,0.895,1019
2020-12-15T00:00:00.000Z,3,8,4,4,5,1.126,1049
2020-12-16T00:00:00.000Z,0,4,0,0,0,1.07,1025
2020-12-17T00:00:00.000Z,0,4,0.5,0,2,1.284,984
2020-12-18T00:00:00.000Z,0,2,0,0,0,0.351,1031
2020-12-19T00:00:00.000Z,0,5,3,2,4,1.25,1005
2020-12-20T00:00:00.000Z,0,11,4,4,6,2.409,1077
2020-12-21T00:00:00.000Z,0,3,0,0,1,0.657,1009
2020-12-22T00:00:00.000Z,0,6,2,0,4,1.712,1002
2020-12-23T00:00:00.000Z,0,0,0,0,0,0,1046
2020-12-24T00:00:00.000Z,0,5,0,0,0,0.692,1000
2020-12-25T00:00:00.000Z,0,0,0,0,0,0,1061
2020-12-26T00:00:00.000Z,0,7,0,0,0,1.418,1098
2020-12-27T00:00:00.000Z,0,4,2,0,3,1.658,1066
2020-12-28T00:00:00.000Z,0,6,4,3,4,1.419,1037
2020-12-29T00:00:00.000Z,0,4,2,0,3,1.538,1057
2020-12-30T00:00:00.000Z,0,4,0,0,3,1.569,1086
2020-12-31T00:00:00.000Z,0,24,1,0,4,3.6,1091
2021-01-01T00:00:00.000Z,0,25,5,1,14,7.656,1057
2021-01-02T00:00:00.000Z,0,4,1,0,3,1.59,1032
2021-01-03T00:00:00.000Z,0,0,0,0,0,0,1031
